Kode Item,Deskripsi,Presence Count,H_norm,Max Share,Wilayah Dominan,Label
126975386,Simply Acrylic 75ml Sl Dark Green,3,0.9755,0.4375,Jakarta Timur,Regional
126975391,Simply Acrylic 75ml Sl Med Green,3,0.9656,0.4444,Jakarta Pusat,Regional
126975409,Simply Acrylic 75ml Sl Magenta,3,0.8275,0.6304,Jakarta Pusat,Regional
126975433,Simply Acrylic 75ml Sl Purple,3,0.9497,0.4375,Jakarta Timur,Regional
126975450,Simply Acrylic 75ml Sl Violet,3,0.8702,0.5294,Jakarta Pusat,Regional
126975513,Simply Acrylic 75ml Sl Crimson,3,0.9713,0.4545,Jakarta Timur,Regional
126975538,Simply Acrylic 75ml Sl Neon Pink,3,0.8059,0.6531,Jakarta Pusat,Regional
126975544,Simply Acrylic 75ml Sl Neon Red,3,0.9154,0.5217,Jakarta Pusat,Regional
126975547,Simply Acrylic 75ml Sl Brilliant Red,3,0.9923,0.3793,Jakarta Timur,Regional
126975567,Simply Acrylic 75ml Sl Scarlet,3,0.9432,0.4545,Jakarta Timur,Regional
126975598,Simply Acrylic 75ml Sl Glow Dark,3,0.9863,0.4167,Jakarta Timur,Regional
126975618,Simply Acrylic 75ml Sl Deep Yellow,3,0.9372,0.5000,Jakarta Timur,Regional
126975651,Simply Acrylic 75ml Sl Lemon Yellow,3,0.9878,0.4000,Jakarta Timur,Regional
126975653,Simply Acrylic 75ml Sl Neon Orange,3,0.9545,0.4500,Jakarta Pusat,Regional
126975660,Simply Acrylic 75ml Sl Orange,3,0.8587,0.5000,Jakarta Timur,Regional
126975663,Simply Acrylic 75ml Sl Yellow Ochre,3,0.9056,0.5455,Jakarta Timur,Regional
126975675,Simply Acrylic 75ml Sl Primary Yellow,3,0.9078,0.5500,Jakarta Pusat,Regional
126975681,Simply Acrylic 75ml Sl Neon Yellow,3,0.9472,0.4444,Jakarta Pusat,Regional
126975684,Simply Acrylic 75ml Sl Medium Yellow,3,0.9938,0.3810,Jakarta Pusat,Regional
126975701,"GIOTTO SCHOOL PAINT 1000 ML, MAGENTA",3,0.9056,0.5455,Jakarta Pusat,Regional
131900000,Aquafine Pocket Set,3,0.8699,0.5714,Jakarta Pusat,Regional
131900924,Aquafine Travel Tin (24),3,0.9320,0.5000,Jakarta Pusat,Regional
160029011,Fw Ink 29.5ml White,3,0.9464,0.5000,Jakarta Pusat,Regional
160029028,Fw Ink 29.5ml Black India,3,0.9737,0.4348,Jakarta Pusat,Regional
160029053,Fw Ink 29.5ml Cool Grey,3,0.9808,0.4167,Jakarta Utara,Regional
160029065,Fw Ink 29.5ml Paynes Grey,3,0.7976,0.6552,Jakarta Pusat,Regional
160029100,Fw Ink 29.5ml Fluorescent Blue,3,0.9650,0.4211,Jakarta Pusat,Regional
160029134,CANSON BRISTOL 20S A3 250G,3,0.9808,0.4167,Jakarta Pusat,Regional
160029145,Fw Ink 29.5ml Turquoise,3,0.9802,0.4000,Jakarta Timur,Regional
160029151,Fw Ink 29.5ml Marine Blue,3,0.9659,0.4375,Jakarta Timur,Regional
160029326,Fw Ink 29.5ml Dark Green,3,0.9569,0.4800,Jakarta Pusat,Regional
160029349,Fw Ink 29.5ml Fluorescent Green,3,0.9968,0.3529,"Jakarta Timur, Jakarta Utara",Regional
160029437,Fw Ink 29.5ml Purple Lake,3,0.9655,0.4643,Jakarta Pusat,Regional
160029454,Fw Ink 29.5ml Velvet Violet,3,0.9190,0.5333,Jakarta Pusat,Regional
160029513,Fw Ink 29.5ml Crimson,3,0.9721,0.4074,Jakarta Pusat,Regional
160029517,Fw Ink 29.5ml Flame Red,3,0.8920,0.5714,Jakarta Pusat,Regional
160029538,Simply AC G Taklon SH Brush Set 6pc #2,3,0.9891,0.4074,Jakarta Timur,Regional
160029544,"GIOTTO ACRYLIC PAINT BOTTLE 250 ML, YELLOW",3,0.9654,0.4667,Jakarta Utara,Regional
160029554,Simply AC G Taklon SH Brush Set 5pc #2,3,0.8735,0.5833,Jakarta Pusat,Regional
160029567,Fw Ink 29.5ml Scarlet,3,0.8500,0.6111,Jakarta Pusat,Regional
160029578,Fw Ink 29.5ml Flesh Tint,3,0.9342,0.5000,Jakarta Timur,Regional
160029607,Fw Ink 29.5ml Brilliant Yellow,3,0.9361,0.4706,Jakarta Pusat,Regional
160029651,Fw Ink 29.5ml Lemon Yellow,3,0.8587,0.5000,Jakarta Timur,Regional
160029653,Fw Ink 29.5ml Fluorescent Orange,3,0.9464,0.5000,Jakarta Utara,Regional
160029681,"GIOTTO SCHOOLPAINT 250 ml., SCARLET RED",3,0.9770,0.4118,Jakarta Utara,Regional
160029687,Fw Ink 29.5ml Flame Orange,3,0.9592,0.4783,Jakarta Pusat,Regional
160029701,Fw Ink 29.5ml Gold Imit,3,0.8912,0.5610,Jakarta Pusat,Regional
160029709,Fw Ink 29.5ml Shimmering Gold,3,0.9770,0.4118,Jakarta Pusat,Regional
160029711,Fw Ink 29.5ml Shimmering Blue,3,0.9770,0.3846,"Jakarta Pusat, Jakarta Timur",Regional
163301,DIXON PHANO CHINA MARKER WHITE,3,0.8699,0.5714,Jakarta Timur,Regional
